id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_cp,beta_tcc,beta_TNSR,beta_TEM,beta_RH,se_Intercept,se_cp,se_tcc,se_TNSR,se_TEM,se_850RH,t_Intercept,t_cp,t_tcc,t_TNSR,t_TEM,t_RH,p_Intercept,p_cp,p_tcc,p_TNSR,p_TEM,p_RH,sumW_Intercept,sumW_cp,sumW_tcc,sumW_TNSR,sumW_TEM,sumW_RH
504,906840.4683,3147367.899,0.147529103,-0.096760691,0.123849308,0.023679794,0.717114814,0.099207985,0.047978278,-0.156646263,0.201254994,-0.090508406,0.045137708,0.059148817,0.055523218,0.099085297,0.148907532,0.050082062,0.116217021,1.677260684,0.864111988,-1.580923385,1.351543419,-1.80720207,0.388391546,0.093808786,0.387736747,0.114216592,0.17683172,0.07103579,0.697810229,16.7812532,13.61538732,16.78125329,16.7812532,52.3664104,13.61538732
505,935140.4683,3147367.899,0.268962027,0.205790033,0.139526873,0.129435154,0.755357567,0.152388505,0.007543133,-0.09658732,0.125727782,-0.048481916,0.021154055,0.060791719,0.054231788,0.104100539,0.124059928,0.054024885,0.120596837,2.506731321,0.139090614,-0.927827276,1.013443944,-0.897399709,0.175411359,0.012345472,0.889406977,0.353724466,0.31109703,0.369724953,0.860792468,16.78125321,13.61538733,16.7812533,16.78125321,52.36641042,13.61538733
506,963440.4683,3147367.899,0.143116594,-0.237565511,0.171352209,-0.028235616,0.778463134,0.197019898,-0.016885329,-0.073263123,0.029127963,-0.027509585,0.007508438,0.061901448,0.054700212,0.111327582,0.069596587,0.057050394,0.120767957,3.182799514,-0.308688553,-0.658085999,0.418525734,-0.482197992,0.062172437,0.001504281,0.757623727,0.510636643,0.675654011,0.629772431,0.950438125,16.78125323,13.61538735,16.78125332,16.78125323,52.36641044,13.61538735
507,991740.4683,3147367.899,0.272946836,-0.11597992,0.198036963,0.074909873,0.680959914,0.23615301,-0.03074672,-0.032565931,-0.004335581,-0.013023175,0.08675449,0.060966072,0.053431149,0.115206527,0.062470809,0.058866839,0.121605625,3.873515248,-0.575445609,-0.282674358,-0.069401712,-0.221231093,0.713408532,0.000114362,0.565121395,0.777485863,0.944683952,0.824958352,0.475761983,16.78125324,13.61538736,16.78125333,16.78125324,52.36641044,13.61538736
508,1020040.468,3147367.899,0.242059273,0.186374033,0.174770126,0.067289147,0.511584174,0.275428648,-0.046758191,0.001797542,-0.009983088,-0.000724187,0.276248845,0.058706543,0.047212733,0.118543798,0.062070141,0.059923877,0.132770184,4.691617577,-0.990372468,0.015163528,-0.160835591,-0.012085109,2.08065423,3.09E-06,0.322235315,0.987904789,0.872255872,0.99036016,0.037723521,16.78125324,13.61538736,16.78125333,16.78125324,52.36641044,13.61538736
509,1048340.468,3147367.899,0.179784458,0.111402698,0.088758767,0.091025691,0.447601202,0.317964239,-0.065419955,0.019131586,-0.008721878,0.010540691,0.440935196,0.056879349,0.042262781,0.121333173,0.061753806,0.060396247,0.140088762,5.590152577,-1.547933049,0.157678112,-0.141236276,0.174525602,3.147541519,2.94E-08,0.121959631,0.874742766,0.887712168,0.861488276,0.001695984,16.78125323,13.61538735,16.78125332,16.78125323,54.3872148,13.61538735
510,1076640.468,3147367.899,0.17047669,0.115927376,0.072741425,0.097735265,0.633962482,0.373707273,-0.048384364,0.023787978,-0.004205972,0.019758219,0.542116815,0.056445457,0.039658961,0.122566462,0.061841817,0.060645153,0.141358178,6.620679406,-1.220010872,0.19408228,-0.068011773,0.325800466,3.835058037,5.87E-11,0.222752769,0.846151474,0.945790066,0.744644525,0.000133512,16.78125321,13.61538733,16.7812533,16.78125321,54.16901946,13.61538733
511,1104940.468,3147367.899,0.195088496,-0.167076866,0.209646761,-0.014558265,0.781527699,0.448282542,-0.019461207,0.015640088,0.004365547,0.024370103,0.596468942,0.056889357,0.039550871,0.122291232,0.062272353,0.060630264,0.142944751,7.879901784,-0.492055068,0.127892146,0.070104097,0.40194617,4.172723642,8.64E-15,0.622790057,0.898260431,0.944125035,0.687810841,3.28E-05,16.7812532,13.61538732,16.78125329,16.7812532,59.17212746,13.61538732
512,1133240.468,3147367.899,0.318062834,-0.156443953,0.505748773,-0.187685938,0.813908235,0.532702007,-0.002084227,-0.006238118,0.021267165,0.026094142,0.598620361,0.058263801,0.039630943,0.121064463,0.062764701,0.060622444,0.147656799,9.142932621,-0.0525909,-0.051527245,0.338839578,0.430436995,4.054133393,3.39E-19,0.958068531,0.95891584,0.734802803,0.666971951,5.43E-05,16.74609698,13.61538732,16.74609698,16.74609698,62.14063576,13.61538732
513,1161540.468,3147367.899,0.724100892,0.043724415,0.765569759,-0.041468866,0.71646798,0.600241704,0.004263103,-0.040918526,0.05307369,0.026980154,0.52344452,0.060851253,0.039157616,0.118546753,0.063107417,0.060636443,0.155581972,9.864081307,0.108870343,-0.345167837,0.841005583,0.444949478,3.364429148,5.96E-22,0.913327504,0.73004189,0.400548918,0.656454023,0.000796603,16.49609688,13.46745823,17.46367107,16.49609688,61.10597914,13.46745823
